Airport_name,Airport_code,Destination_name,Destination_code,Airline,Duration,Flights_per_day,Weekdays,
Warsaw Chopin Airport,WAW,Schiphol,AMS,KLM,2h 15m,8,S M T W T F S
Warsaw Chopin Airport,WAW,Copenhagen Airport,CPH,LOT,1h 35m,5-8,S M T W T F S
Warsaw Chopin Airport,WAW,Vienna International Airport,VIE,LOT,1h 20m,7-8,S M T W T F S
Warsaw Chopin Airport,WAW,Frankfurt Airport,FRA,Lufthansa,1h 50m,7,S M T W T F S
Warsaw Chopin Airport,WAW,Charles De Gaulle,CDG,Air France,2h 30m,6-7,S M T W T F S
Warsaw Chopin Airport,WAW,Munich Airport,MUC,Lufthansa,1h 40m,6-7,S M T W T F S
Warsaw Chopin Airport,WAW,Copernicus Airport Wrocław,WRO,LOT,0h 55m,6,S M T W T F S
Warsaw Chopin Airport,WAW,Gdańsk Lech Wałęsa Airport,GDN,LOT,0h 55m,5-7,S M T W T F S
Warsaw Chopin Airport,WAW,Kraków John Paul II International Airport,KRK,LOT,0h 55m,5-6,S M T W T F S
Warsaw Chopin Airport,WAW,Heathrow,LHR,British Airways,2h 50m,5-6,S M T W T F S
Warsaw Chopin Airport,WAW,Istanbul Airport,IST,LOT,2h 45m,5-6,S M T W T F S
Warsaw Chopin Airport,WAW,Brussels Airport,BRU,LOT,2h 10m,4-6,S M T W T F S
Warsaw Chopin Airport,WAW,Budapest Ferenc Liszt International Airport,BUD,LOT,1h 20m,4-5,S M T W T F S
Warsaw Chopin Airport,WAW,Václav Havel Airport Prague,PRG,LOT,1h 15m,4-5,S M T W T F S
Warsaw Chopin Airport,WAW,Vilnius Airport,VNO,LOT,1h 5m,4-5,S M T W T F S
Warsaw Chopin Airport,WAW,Lawica,POZ,LOT,0h 55m,2-5,S M T W T F S
Warsaw Chopin Airport,WAW,Jasionka,RZE,LOT,0h 55m,4-5,S M T W T F S
Warsaw Chopin Airport,WAW,Zurich Airport,ZRH,LOT,2h 5m,3-5,S M T W T F S
Warsaw Chopin Airport,WAW,Henri Coandă International Airport,OTP,LOT,1h 50m,4,S M T W T F S
Warsaw Chopin Airport,WAW,Fiumicino,FCO,Wizz Air,2h 30m,3-4,S M T W T F S
Warsaw Chopin Airport,WAW,Dusseldorf Airport,DUS,Eurowings,1h 55m,2-4,S M T W T F S
Warsaw Chopin Airport,WAW,Helsinki Airport,HEL,Finnair,1h 45m,3-4,S M T W T F S
Warsaw Chopin Airport,WAW,Ben Gurion International Airport,TLV,LOT,3h 45m,3-4,S M T W T F S
Warsaw Chopin Airport,WAW,Katowice Airport,KTW,LOT,0h 50m,2-4,S M T W T F S
Warsaw Chopin Airport,WAW,Goleniow,SZZ,LOT,1h 5m,2-4,S M T W T F S
Warsaw Chopin Airport,WAW,Athens International Airport,ATH,Aegean,2h 40m,3-4,S M T W T F S
Warsaw Chopin Airport,WAW,Tallinn,TLL,LOT,1h 45m,3-4,S M T W T F S
Warsaw Chopin Airport,WAW,El Prat Airport,BCN,LOT,3h 10m,3,S M T W T F S
Warsaw Chopin Airport,WAW,Berlin Brandenburg Airport,BER,LOT,1h 20m,2-4,S M T W T F S
Warsaw Chopin Airport,WAW,Dubai International Airport,DXB,Emirates,6h 5m,3,S M T W T F S
Warsaw Chopin Airport,WAW,Luton,LTN,Wizz Air,2h 40m,3,S M T W T F S
Warsaw Chopin Airport,WAW,Milan Malpensa Airport,MXP,LOT,2h 15m,3,S M T W T F S
Warsaw Chopin Airport,WAW,Oslo Gardermoen Airport,OSL,Norwegian,2h 10m,3,S M T W T F S
Warsaw Chopin Airport,WAW,Stockholm Arlanda Airport,ARN,LOT,1h 50m,2-3,S M T W T F S
Warsaw Chopin Airport,WAW,Hamburg Airport,HAM,LOT,1h 40m,2-3,S M T W T F S
Warsaw Chopin Airport,WAW,Sofia Airport,SOF,LOT,2h 0m,2-3,S M T W T F S
Warsaw Chopin Airport,WAW,Riga International Airport,RIX,LOT,1h 20m,2-3,S M T W T F S
Warsaw Chopin Airport,WAW,Orio al Serio International Airport,BGY,Wizz Air,2h 5m,2-4,S M T W T F S
Warsaw Chopin Airport,WAW,Chisinau International Airport,RMO,LOT,1h 45m,2-3,S M T W T F S
Warsaw Chopin Airport,WAW,Hamad International Airport,DOH,Qatar Airways,5h 30m,2,S M T W T F S
Warsaw Chopin Airport,WAW,Geneva Airport,GVA,LOT,2h 20m,2,S M T W T F S
Warsaw Chopin Airport,WAW,Barajas,MAD,LOT,3h 50m,2,S M T W T F S
Warsaw Chopin Airport,WAW,Zagreb Airport,ZAG,LOT,1h 40m,2,S M T W T F S
Warsaw Chopin Airport,WAW,Alicante–Elche Miguel Hernández Airport,ALC,Wizz Air,3h 25m,1-2,S M T W T F S
Warsaw Chopin Airport,WAW,Larnaca Airport,LCA,LOT,3h 30m,1-2,S M T W T F S
Warsaw Chopin Airport,WAW,Belgrad Nikola Tesla Airport,BEG,LOT,1h 40m,1-2,S M T W T F S
Warsaw Chopin Airport,WAW,Malta International Airport,MLA,Wizz Air,3h 5m,1-2,S M T W T F S
Warsaw Chopin Airport,WAW,Málaga Airport,AGP,Wizz Air,3h 55m,1-2,S M T W T F S
Warsaw Chopin Airport,WAW,Venice Marco Polo Airport,VCE,LOT,2h 0m,1-2,S M T W T F S
Warsaw Chopin Airport,WAW,Antalya Airport,AYT,SunExpress,3h 0m,1-2,S M T W T F S
Warsaw Chopin Airport,WAW,Brussels South Charleroi Airport,CRL,Wizz Air,2h 5m,1-2,S M T W T F S
Warsaw Chopin Airport,WAW,John F Kennedy International,JFK,LOT,9h 30m,1-2,S M T W T F S
Warsaw Chopin Airport,WAW,Ljubljana,LJU,LOT,1h 35m,1-2,S M T W T F S
Warsaw Chopin Airport,WAW,Cote D Azur Airport,NCE,LOT,2h 30m,1-2,S M T W T F S
Warsaw Chopin Airport,WAW,Pearson International,YYZ,LOT,9h 40m,1-2,S M T W T F S
Warsaw Chopin Airport,WAW,Billund Airport,BLL,LOT,1h 50m,1-2,S M T W T F S
Warsaw Chopin Airport,WAW,Cluj International Airport,CLJ,LOT,1h 25m,1-2,S M T W T F S
Warsaw Chopin Airport,WAW,Keflavík International Airport,KEF,Wizz Air,4h 20m,0-2,S M T W T F S
Warsaw Chopin Airport,WAW,Luxembourg Airport,LUX,LOT,2h 5m,0-2,S M T W T F S
Warsaw Chopin Airport,WAW,Chicago O Hare International,ORD,LOT,10h 20m,1-2,S M T W T F S
Warsaw Chopin Airport,WAW,Stuttgart Airport,STR,LOT,1h 55m,0-2,S M T W T F S
Warsaw Chopin Airport,WAW,Tirana International Airport Nënë Tereza,TIA,LOT,2h 10m,1-2,S M T W T F S
Warsaw Chopin Airport,WAW,Baneasa,BBU,Wizz Air,1h 55m,1,S M T W T F S
Warsaw Chopin Airport,WAW,Eindhoven Airport,EIN,Wizz Air,2h 5m,1,S M T W T F S
Warsaw Chopin Airport,WAW,Zvartnots International Airport,EVN,LOT,3h 35m,1,S M T W T F S
Warsaw Chopin Airport,WAW,Kutaisi,KUT,Wizz Air,3h 30m,1,S M T W T F S
Warsaw Chopin Airport,WAW,Gatwick,LGW,Wizz Air UK,2h 25m,1,S M T W T F S
Warsaw Chopin Airport,WAW,Lublin Airport,LUZ,LOT,0h 45m,1,S M T W T F S
Warsaw Chopin Airport,WAW,Naples International Airport,NAP,Wizz Air,2h 25m,1,S M T W T F S
Warsaw Chopin Airport,WAW,Narita International Airport,NRT,LOT,12h 50m,1,S M T W T F S
